Keyword,Rank,Name,OriginalPrice,FinalPrice,RocketBadge,Arrival,FreeShipping,ReviewCount,Points,StockStatus,Link,ImgUrl
스카프,,허블리 여성 면 손수건 스카프 쁘띠 머플러,"15,000원","6,900원",판매자로켓,내일(목) 도착 보장,N,52,345원,,https://www.coupang.com/vp/products/9063210921?itemId=26610908427&vendorItemId=93584177113&sourceType=srp_product_ads&clickEventId=05d460d0-bfac-11f0-8885-47cf60f03013&korePlacement=15&koreSubPlacement=22&clickEventId=05d460d0-bfac-11f0-8885-47cf60f03013&korePlacement=15&koreSubPlacement=22,
스카프,22,MGN공식 스카프 가을 여성스카프 쁘띠 5종세트,"20,000원","8,900원",판매자로켓,내일(목) 도착 보장,N,13,445원,,https://www.coupang.com/vp/products/9055027985?itemId=26579374094&vendorItemId=93552809074&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=22&rank=22,
스카프,23,미디엄템포 부드럽고 네추럴한 사계절 무지 롱 스카프 피그먼트 브리즈 / 국내제작 면 레이온 소재로 부드럽고 피부에 편안 봄 가을 검정 블랙 스카프,,"18,800원",판매자로켓,내일(목) 도착 보장,N,489,940원,,https://www.coupang.com/vp/products/1272365658?itemId=2277322904&vendorItemId=79539493237&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=23&rank=23,
스카프,24,로튼 국내제작 삼각 무지 스카프 머플러 면 심플 우아함 봄 스카프 여성 남성,"13,700원","8,650원",판매자로켓,내일(목) 도착 보장,N,35,433원,,https://www.coupang.com/vp/products/8584811282?itemId=24886721972&vendorItemId=91893521261&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=24&rank=24,
스카프,25,1+1 에이엔이엠 고급 실크 여성 패션 사각스카프 4컬러,,"6,900원",,모레(금) 도착 예정,Y,5,345원,,https://www.coupang.com/vp/products/8645821599?itemId=25093949160&vendorItemId=92097620741&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=25&rank=25,
스카프,26,모델엄마 프렌치무드 고급 아사면 마름모 뾰족스카프 (2colors),"25,900원","13,700원",판매자로켓,내일(목) 도착 보장,N,19,685원,,https://www.coupang.com/vp/products/9003349109?itemId=26384009530&vendorItemId=93360460623&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=26&rank=26,
스카프,27,2종세트 바바 프리미엄 자석버클 쁘띠 사각 스카프,"29,900원","8,800원",,모레(금) 도착 예정,Y,317,440원,,https://www.coupang.com/vp/products/8540920480?itemId=24727854281&vendorItemId=91736880972&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=27&rank=27,
스카프,28,라인벨 고급 자석 스카프 3종,"34,000원","14,900원",,모레(금) 도착 예정,Y,19,745원,,https://www.coupang.com/vp/products/9164245735?itemId=26999033473&vendorItemId=93967754923&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=28&rank=28,
스카프,29,허블리 여성 부드러운 사각 스카프 머플러 4종세트,"30,000원","12,900원",판매자로켓,내일(목) 도착 보장,N,26,645원,,https://www.coupang.com/vp/products/9066483209?itemId=26624956505&vendorItemId=93603392173&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=29&rank=29,
스카프,30,온더레드 러블리 레이어드 롱스카프,"32,000원","8,890원",판매자로켓,내일(목) 도착 보장,N,115,445원,,https://www.coupang.com/vp/products/8437333354?itemId=24403111462&vendorItemId=91418006264&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=30&rank=30,
